ts,symbol,interval,open,high,low,close,volume,source
2026-03-06 00:28:00+00:00,BTC-USD,1m,70919.01,70961.35,70897.51,70951.87,35.83451,binance
2026-03-06 00:29:00+00:00,BTC-USD,1m,70948.46,70954.21,70904.51,70915.99,3.60743,binance
2026-03-06 00:30:00+00:00,BTC-USD,1m,70915.99,70937.0,70905.03,70908.42,3.08378,binance
2026-03-06 00:31:00+00:00,BTC-USD,1m,70908.42,70917.59,70906.0,70906.01,2.02946,binance
2026-03-06 00:32:00+00:00,BTC-USD,1m,70906.0,70928.41,70888.9,70922.18,3.03557,binance
2026-03-06 00:33:00+00:00,BTC-USD,1m,70922.18,70979.5,70922.17,70971.77,3.79124,binance
2026-03-06 00:34:00+00:00,BTC-USD,1m,70971.77,71007.13,70931.99,70932.0,8.44478,binance
2026-03-06 00:35:00+00:00,BTC-USD,1m,70932.0,70948.46,70932.0,70942.51,1.59656,binance
2026-03-06 00:36:00+00:00,BTC-USD,1m,70942.51,70942.51,70900.0,70934.3,3.93365,binance
2026-03-06 00:37:00+00:00,BTC-USD,1m,70934.3,70950.0,70914.15,70947.47,6.64988,binance
2026-03-06 00:38:00+00:00,BTC-USD,1m,70947.47,70954.92,70928.54,70953.28,2.38283,binance
2026-03-06 00:39:00+00:00,BTC-USD,1m,70953.29,70968.2,70913.35,70943.69,8.69991,binance
2026-03-06 00:40:00+00:00,BTC-USD,1m,70943.68,70959.87,70927.75,70958.46,2.5272,binance
2026-03-06 00:41:00+00:00,BTC-USD,1m,70958.47,70958.47,70938.4,70938.41,4.21309,binance
2026-03-06 00:42:00+00:00,BTC-USD,1m,70938.41,70938.41,70930.1,70933.59,2.77389,binance
2026-03-06 00:43:00+00:00,BTC-USD,1m,70933.58,70934.52,70933.58,70934.51,1.75882,binance
2026-03-06 00:44:00+00:00,BTC-USD,1m,70934.51,70966.22,70899.14,70899.15,39.7346,binance
2026-03-06 00:45:00+00:00,BTC-USD,1m,70899.14,70906.0,70887.01,70901.57,25.71831,binance
2026-03-06 00:46:00+00:00,BTC-USD,1m,70901.58,70988.65,70901.57,70988.64,3.31373,binance
