symbol,mean_ret,vol,skew,kurt,p01,p99,tail_1pct,corr_to_mkt,beta_to_mkt,pc1_loading,pc1_abs_loading,mom_7d,mom_30d
BNB-USD,-0.00014215522302084822,0.004846064607317536,-0.7508243284732329,8.30953182303487,-0.015694836007388524,0.011679239200803587,0.02737407520819211,0.8160286960785613,0.6008951907600618,0.13319168378703192,0.13319168378703192,0.0,0.014815911071645704
BONK-USD,-9.267734762873088e-05,0.009789762517338606,0.21863460741206434,8.378797498494002,-0.026572292060666712,0.030252686299204017,0.05682497835987073,0.839449313306764,1.2487362868891032,0.1358658601234966,0.1358658601234966,0.0,-3.3306690738754696e-16
BTC-USD,-0.00011610276703410112,0.0048426757930947265,-0.686258865076016,9.790055638267201,-0.01627805618897569,0.012991814991503668,0.029269871180479357,0.8419586364393071,0.6195555448656084,0.1374541878972969,0.1374541878972969,0.0,0.01801078488656671
CAKE-USD,-0.00013751694165796833,0.006240343802796913,-0.6205347391989562,7.165598185580613,-0.01832862243846598,0.0169865309101172,0.03531515334858318,0.8102045510895675,0.7682583561907733,0.1319374931493618,0.1319374931493618,0.0,0.016291698991468095
CFX-USD,-0.00013907987839807752,0.008223709839523915,-0.21018555745698436,7.606153420559863,-0.023570160374887194,0.021857923497267784,0.04542808387215498,0.8569315890894532,1.0708238320652388,0.138060363466282,0.138060363466282,0.0,0.01663201663201508
CRV-USD,-0.0001256640855903451,0.008092522763115916,-0.1011869863152592,3.8803581501794624,-0.02538404073536611,0.0224703201822759,0.04785436091764201,0.8228426677692695,1.0118236596578136,0.13336457521198186,0.13336457521198186,0.0,0.0662139219015292
DOGE-USD,-0.00013071941290283647,0.007299898128904984,-0.16513932232300865,7.609811489284361,-0.022758691244671603,0.02269093036979685,0.04544962161446846,0.8796528594372034,0.975735745559485,0.14366547601007174,0.14366547601007174,0.0,0.025738902824736565
DOT-USD,-1.0428005016124478e-05,0.008318779559054893,-0.04501734846727091,6.868548196894871,-0.02102431077181701,0.023980500487487712,0.04500481125930472,0.8685480502384374,1.097886798188524,0.14098092150129016,0.14098092150129016,0.0,0.30763178599527974
EDEN-USD,-0.00025932485492451634,0.010869654022829255,0.09305263435977809,9.199189005541658,-0.029222783189930924,0.029779883962974537,0.05900266715290546,0.6060224661726122,1.0009411462995406,0.09427508477252054,0.09427508477252054,0.0,0.044164037854890204
EIGEN-USD,-0.0003216743667106577,0.009742760240992979,0.18011409429555256,6.187257915077694,-0.027422852376980878,0.02750797589507267,0.05493082827205355,0.8644201594744396,1.279708336066566,0.13915898582357866,0.13915898582357866,0.0,-0.07500000000000184
ENA-USD,-0.000294134341617072,0.008831577932756074,-0.09322542774356546,6.748173014940772,-0.022985091158813507,0.02526983788632704,0.048254929045140546,0.8999549329350954,1.207711396710049,0.14521606655957137,0.14521606655957137,0.0,-0.10413080895008664
ETH-USD,-0.00017684509437501672,0.006426594919011194,-0.22657747414328352,9.717013504694549,-0.021489166486502898,0.01813390081590231,0.03962306730240521,0.8644254798376148,0.8441363130508763,0.1413166757203938,0.1413166757203938,0.0,0.020291465846768997
FET-USD,-9.550013780257011e-05,0.009214066517661443,-0.04346079259405186,8.680240394920972,-0.02543820894569031,0.02599019846869109,0.0514284074143814,0.865145226066884,1.2112797476126889,0.1397520233562002,0.1397520233562002,0.0,-0.00444444444444092
FIL-USD,-7.095416078649772e-05,0.009143370158284503,0.1267866711651978,9.016201383715563,-0.02677683232622183,0.02551459401730923,0.05229142634353106,0.8168548610261526,1.1348939921823882,0.13193681884099454,0.13193681884099454,0.0,0.11172566371681425
